ds,yhat,mean_ci_lower,mean_ci_upper
300,3120.0,3119.9999977318835,3120.0000022681165
301,3110.0,3109.9999977318685,3110.0000022681315
302,3120.0,3119.9999960715245,3120.0000039284755
303,3130.0,3129.999996071516,3130.000003928484
304,3140.0,3139.9999949283642,3140.0000050716358
305,3150.0,3149.9999949283574,3150.0000050716426
306,3160.0,3159.999993999162,3160.000006000838
307,3170.0,3169.9999939991562,3170.0000060008438
308,3180.0,3179.999993195691,3180.000006804309
309,3190.0,3189.999993999145,3190.000006000855
310,3200.0,3199.9999935848136,3200.0000064151864
311,3210.0,3209.999992477531,3210.000007522469
