ds,y
2000-01-01,120
2000-02-01,110
2000-03-01,120
2000-04-01,130
2000-05-01,140
2000-06-01,150
2000-07-01,160
2000-08-01,170
2000-09-01,180
2000-10-01,190
2000-11-01,200
2000-12-01,210
2001-01-01,240
2001-02-01,230
2001-03-01,240
2001-04-01,250
2001-05-01,260
2001-06-01,270
2001-07-01,280
2001-08-01,290
2001-09-01,300
2001-10-01,310
2001-11-01,320
2001-12-01,330
2002-01-01,360
2002-02-01,350
2002-03-01,360
2002-04-01,370
2002-05-01,380
2002-06-01,390
2002-07-01,400
2002-08-01,410
2002-09-01,420
2002-10-01,430
2002-11-01,440
2002-12-01,450
2003-01-01,480
2003-02-01,470
2003-03-01,480
2003-04-01,490
2003-05-01,500
2003-06-01,510
2003-07-01,520
2003-08-01,530
2003-09-01,540
2003-10-01,550
2003-11-01,560
2003-12-01,570
2004-01-01,600
2004-02-01,590
2004-03-01,600
2004-04-01,610
2004-05-01,620
2004-06-01,630
2004-07-01,640
2004-08-01,650
2004-09-01,660
2004-10-01,670
2004-11-01,680
2004-12-01,690
2005-01-01,720
2005-02-01,710
2005-03-01,720
2005-04-01,730
2005-05-01,740
2005-06-01,750
2005-07-01,760
2005-08-01,770
2005-09-01,780
2005-10-01,790
2005-11-01,800
2005-12-01,810
2006-01-01,840
2006-02-01,830
2006-03-01,840
2006-04-01,850
2006-05-01,860
2006-06-01,870
2006-07-01,880
2006-08-01,890
2006-09-01,900
2006-10-01,910
2006-11-01,920
2006-12-01,930
2007-01-01,960
2007-02-01,950
2007-03-01,960
2007-04-01,970
2007-05-01,980
2007-06-01,990
2007-07-01,1000
2007-08-01,1010
2007-09-01,1020
2007-10-01,1030
2007-11-01,1040
2007-12-01,1050
2008-01-01,1080
2008-02-01,1070
2008-03-01,1080
2008-04-01,1090
2008-05-01,1100
2008-06-01,1110
2008-07-01,1120
2008-08-01,1130
2008-09-01,1140
2008-10-01,1150
2008-11-01,1160
2008-12-01,1170
2009-01-01,1200
2009-02-01,1190
2009-03-01,1200
2009-04-01,1210
2009-05-01,1220
2009-06-01,1230
2009-07-01,1240
2009-08-01,1250
2009-09-01,1260
2009-10-01,1270
2009-11-01,1280
2009-12-01,1290
2010-01-01,1320
2010-02-01,1310
2010-03-01,1320
2010-04-01,1330
2010-05-01,1340
2010-06-01,1350
2010-07-01,1360
2010-08-01,1370
2010-09-01,1380
2010-10-01,1390
2010-11-01,1400
2010-12-01,1410
2011-01-01,1440
2011-02-01,1430
2011-03-01,1440
2011-04-01,1450
2011-05-01,1460
2011-06-01,1470
2011-07-01,1480
2011-08-01,1490
2011-09-01,1500
2011-10-01,1510
2011-11-01,1520
2011-12-01,1530
2012-01-01,1560
2012-02-01,1550
2012-03-01,1560
2012-04-01,1570
